Estampa de tiempo;KPH;1DIAG;2DIAG;2AXI;3DIAG;4DIAG
16/04/2019 16:22;0;5,309;2,503;0,029;10,931;1,352
16/04/2019 16:22;0;5,259;2,456;0,028;10,896;1,587
16/04/2019 16:22;0;5,295;2,366;0,022;11,036;1,701
16/04/2019 16:22;0;5,359;2,432;0,026;11,022;2,065
16/04/2019 16:23;2621,97;5,401;2,575;0,04;25,4;25,4
16/04/2019 16:23;0;5,356;2,535;0,024;10,905;11,708
16/04/2019 16:23;0;5,322;2,401;0,026;10,997;11,617
16/04/2019 16:23;0;5,317;2,338;0,025;11,018;11,648
16/04/2019 16:23;0;5,385;2,398;0,028;10,938;11,692
16/04/2019 16:23;0;5,422;2,46;0,029;10,936;11,727
16/04/2019 16:23;0;5,306;2,386;0,028;10,932;11,701
16/04/2019 16:23;0;5,27;2,368;0,027;10,941;11,655
16/04/2019 16:23;0;5,263;2,357;0,024;10,898;11,734
17/04/2019 8:37;3600;5,281;2,674;11,277;10,395;11,767
17/04/2019 8:37;3600;5,256;2,636;9,215;10,349;11,742
17/04/2019 8:37;3600;5,242;2,612;10,581;10,381;11,696
17/04/2019 8:37;3600;5,18;2,583;10,525;10,453;11,684
17/04/2019 8:37;3600;5,202;2,594;10,388;10,4;11,73
17/04/2019 9:07;3600;4,662;2,446;3,868;12,48;15,143
17/04/2019 9:37;3600;4,411;2,074;13,044;12,208;15,021
17/04/2019 10:07;3600;4,124;2,429;6,48;10,252;12,074
17/04/2019 10:37;3600;4,154;2,47;6,812;10,33;11,955
17/04/2019 11:07;3600;4,225;2,896;3,087;10,039;11,962
17/04/2019 11:37;3600;3,999;2,521;2,862;10,038;12,148
17/04/2019 12:07;3600;4,037;2,049;2,774;12,97;14,891
17/04/2019 12:37;3600;3,706;1,877;2,906;10,132;12,935
17/04/2019 13:07;3600;5,17;2,665;4,874;25,4;14,636
17/04/2019 13:37;3600;4,675;3,038;10,868;13,408;16,058
